Codigo,Status_Rastreio,Data,Local
PS290344237BR,Objeto entregue ao destinatário,25/02/2019, Belo Horizonte/MG
PS290150151BR,Objeto devolvido ao remetente,28/02/2019, SAO BERNARDO DO CAMPO/SP
OG673303030BR,Objeto entregue ao destinatário,22/02/2019, Guarabira/PB
OG673718955BR,Objeto entregue ao destinatário,21/02/2019, COTIA/SP
OG673672074BR,Objeto entregue ao destinatário,22/02/2019, SAO PAULO/SP
OG673475088BR,Objeto entregue ao destinatário,21/02/2019, MOGI DAS CRUZES/SP
PS290317262BR,Objeto entregue ao destinatário,22/02/2019, Argirita/MG
PS290534253BR,Objeto entregue ao destinatário,28/02/2019, NATAL/RN
OG673727674BR,Objeto entregue ao destinatário,21/02/2019, ATIBAIA/SP
OG673319922BR,Objeto entregue ao destinatário,25/02/2019, CRICIUMA/SC
PS290362301BR,Objeto entregue ao destinatário,21/02/2019, RIO DE JANEIRO/RJ
PS290202993BR,Objeto entregue ao destinatário,25/02/2019, JUATUBA/MG
PS290560275BR,Objeto entregue ao destinatário,22/02/2019, RIO DE JANEIRO/RJ
PS290397708BR,Objeto entregue ao destinatário,28/02/2019, ILHEUS/BA
OG355718620BR,Objeto entregue ao destinatário,22/02/2019, Treviso/SC
OG355573355BR,Objeto entregue ao destinatário,25/02/2019, SATUBA/AL
OG673606092BR,Objeto entregue ao destinatário,22/02/2019, SAO JOAO DE MERITI/RJ
OG355689716BR,Objeto entregue ao destinatário,26/02/2019, PORTO VELHO/RO
PS290512709BR,Objeto entregue ao destinatário,26/02/2019, TOLEDO/PR
OG355722434BR,Objeto entregue ao destinatário,22/02/2019, RIO DAS PEDRAS/SP
OG673606248BR,Objeto entregue ao destinatário,21/02/2019, SAO PAULO/SP
OG673587402BR,Objeto entregue ao destinatário,22/02/2019, VITORIA DA CONQUISTA/BA
OG355450930BR,Objeto entregue ao destinatário,25/02/2019, TERESOPOLIS/RJ
PS290559533BR,Objeto entregue ao destinatário,22/02/2019, Para De Minas/MG
PS290452316BR,Objeto entregue ao destinatário,28/02/2019, BELEM/PA
OG355620846BR,Objeto entregue ao destinatário,22/02/2019, Sao Paulo/SP
PS290202741BR,Objeto entregue ao destinatário,22/02/2019, RIO DE JANEIRO/RJ
OG355426357BR,Objeto entregue ao destinatário,22/02/2019, JACAREI/SP
OG355484289BR,Objeto entregue ao destinatário,22/02/2019, CAMPINA GRANDE/PB
PS290279122BR,Objeto entregue ao destinatário,28/02/2019, RIO DE JANEIRO/RJ
OG673407485BR,Objeto entregue ao destinatário,21/02/2019, RIO DE JANEIRO/RJ
OG673414720BR,Objeto entregue ao destinatário,22/02/2019, FORTALEZA/CE
PS290309399BR,Objeto entregue ao destinatário,27/02/2019, JABOATAO DOS GUARARAPES/PE
PS290237238BR,Objeto entregue ao destinatário,25/02/2019, PALMEIRA DAS MISSOES/RS
OG355648813BR,Objeto entregue ao destinatário,22/02/2019, SALVADOR/BA
PS290464040BR,Objeto entregue ao destinatário,28/02/2019, ALVORADA/RS
